Series Name,Series Code,Country Name,Country Code,1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,China,CHN,7.06000000335179,3.80999999825444,7.7600000016445,2.31000000049113,8.72000000047512,-1.57000000275067,7.56999999917166,11.3259779901995,7.5913246800003,7.83414501593799,5.11276109058912,9.01711391382203,10.7702025065715,15.1915400236134,13.4306775204064,8.94996176438008,11.6574277931357,11.222594982521,4.20633435547815,3.92025136776569,9.26278608462174,14.2245295924457,13.8837293020436,13.0368066326902,10.9539543420185,9.92255675288459,9.23677989169124,7.84595178733933,7.66165150045002,8.49009340601468,8.33573347821324,9.13363078988934,10.0380304808371,10.1136213778964,11.3945918098662,12.7209556651723,14.2308609332879,9.65067891934387,9.39872563258297,10.6358710645426,9.55083217886425,7.86373644864966,7.76615009763002,7.42576365632598,7.04132887877194,6.84876220493844,6.94720079330668,6.74977383254181,5.94971423266418
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,European Union,EUU,3.66070209016046,4.78618736413708,6.0335488367549,3.09733490277341,-0.646547240298943,4.8983700696658,2.87729702384345,3.05779031187086,3.8450411261516,2.07084739160159,0.502070671069959,0.815873165943401,1.44070096989014,2.48515561395071,2.35061465964404,2.58623871702876,2.52733723477444,4.16852049922997,3.92420023291787,3.37024294611624,1.8083619393028,1.14592548416552,-0.565045320044959,2.65207192609537,2.67320752459368,1.89291725481449,2.66401531158114,3.01868074777461,2.95869993650439,3.90321179658221,2.1843643921667,1.12394288743572,0.930532657955084,2.59494790428792,1.93404489385412,3.49427596842273,3.15247293988652,0.644918094144401,-4.32582580473083,2.20972966997046,1.83195466964735,-0.751830975887529,-0.0553133926539289,1.57294275699995,2.30060264957048,2.0447370680984,2.78916521658412,2.11823998429288,1.55426495363793
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,United States,USA,3.29336238703934,5.25889534832913,5.64571947321326,-0.540546529606971,-0.205464005057081,5.38813922012807,4.62415921177256,5.53530269624309,3.16615026772367,-0.256751936461413,2.53771870053738,-1.80287445201735,4.58392730884007,7.23662000401062,4.16965594529771,3.46265172126709,3.45957255449522,4.177046383082,3.67265632838441,1.88596032430949,-0.108259104705525,3.52244248662824,2.75284432663625,4.02883906807251,2.6842871338757,3.7725013199817,4.44721633956435,4.48140755308913,4.75323599078349,4.12748401141975,0.998340800315447,1.74169524302894,2.86121077200275,3.79889112264793,3.51321379594287,2.85497229827358,1.87617145523009,-0.136579804247219,-2.53675706962862,2.56376656343198,1.55083550424324,2.24954585097743,1.84208107011949,2.52597345040711,2.90802186128343,1.63783845703892,2.36980078440416,2.92732573232968,2.16117628829923
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,United Kingdom,GBR,3.50471750518216,4.32166761525016,6.52384843843141,-2.4844040523141,-1.47364954200184,2.91026625694681,2.45775048096047,4.20426042568425,3.74901664259653,-2.03136778090925,-0.787743851356353,1.99489121570818,4.22185640855157,2.2691050845774,4.14741507693289,3.15034053587446,5.39273836588518,5.73241364589943,2.57760269569438,0.733755502200452,-1.1031216255778,0.401082063847213,2.48983097485453,3.84600913053607,2.53167003665999,2.49153317975488,3.85482999120725,3.64485339579952,3.42822332767811,3.43747162873862,2.97436365273566,2.3243511221289,3.28637759033414,2.37395142770163,3.17972889318253,2.78832456587739,2.43055320120308,-0.281153555903288,-4.24782176303837,1.94952146428622,1.54014740315958,1.4789239242734,2.1394857181109,2.60747590068877,2.35552430595799,1.91815513204681,1.89207700716807,1.34072060244353,1.46265820190786
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Italy,ITA,1.81810793366802,3.69048582478699,7.12586230436492,5.50014110132227,-2.09016291535852,7.12538513712093,2.56050084476698,3.24013975184891,5.95915942625737,3.4300164144226,0.844227607248143,0.413585694627969,1.16920349453939,3.22585231527985,2.79808576720868,2.85997186384608,3.19196062848015,4.19437730753005,3.38838345408922,1.98577494287171,1.53844755776618,0.834275453554895,-0.852805763831867,2.15102363802566,2.88683675924553,1.26678480191715,1.83021223388438,1.81061516197623,1.6257275993546,3.78695514323979,1.95137155605238,0.253942998968455,0.138626890776507,1.42359415817907,0.817848973650598,1.79063968081796,1.48707298036786,-0.962012840579291,-5.2809372082931,1.71329583916922,0.707333347034435,-2.98090576823772,-1.84106545088248,-0.00454754236383792,0.778304350716581,1.29346273155907,1.66785904106857,0.944089468582305,0.342718996631092
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Japan,JPN,4.69899204241511,8.41354725507968,8.03259997480662,-1.2252398273517,3.09157591621214,3.97498409101011,4.39033795005732,5.27194150307386,5.48404183248606,2.81759120723146,4.20933646563483,3.31245673720389,3.52304498510716,4.50199481591629,5.23338094710242,3.32652561629175,4.73066586024558,6.78502010941374,4.85803768641544,4.89271306580787,3.41749676156724,0.848069581386284,-0.517919847163228,0.993066363346571,2.74214032190356,3.09999929079811,1.0760452342591,-1.12840982877319,-0.251954272065987,2.77963282512113,0.406335903187042,0.117992776889338,1.52822014817859,2.20468788221162,1.662670405285,1.42000655604306,1.65418388105051,-1.09354060044625,-5.41641279666185,4.19173925854747,-0.115421339757418,1.49508958593034,2.00026784118108,0.374719476350435,1.2229210410615,0.521944455486121,2.16829073737318,0.323207337906922,0.654151650202522
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Germany,DEU,3.13269973811248,4.30034133420232,4.77748689217385,0.890068740587211,-0.866738894227723,4.94925837665457,3.34721812001672,3.00849285673846,4.15036334066737,1.40882863572145,0.529240556536067,-0.394840774795966,1.57241016952116,2.82294780997955,2.32793526226367,2.28733922127036,1.40215162742055,3.70723565949591,3.89655169214447,5.25500608278011,5.10826152190214,1.923076559054,-0.976849818160517,2.39189207051331,1.54414649556445,0.80582289149001,1.79216082094591,2.01393278519326,1.88726115399444,2.91250296366708,1.68146848097079,-0.197973834771361,-0.700116686114356,1.17508813160987,0.731707163554191,3.816441912988,2.97645513131597,0.95987913356484,-5.69383633640285,4.17988249873657,3.92519270463411,0.418497594217598,0.437591303144671,2.20954343134872,1.49193152760772,2.22999986782015,2.60197600462604,1.26799523225071,0.555450887945668
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,India,IND,1.64293038388746,-0.553301312377599,3.29552113522355,1.18533626034041,9.14991201480568,1.66310363661293,7.2547645858358,5.71253208900177,-5.23818270278925,6.73582152799834,6.00620362381754,3.47573324031229,7.28889290124583,3.82073785597366,5.25429922330882,4.77656417048958,3.96535563390586,9.62778291984819,5.94734332826501,5.53345456306511,1.05683143294308,5.48239602167047,4.75077621965234,6.65892406734025,7.57449184032379,7.5495222488198,4.0498208490926,6.18441582090618,8.84575556105509,3.84099115681285,4.82396626390641,3.8039753213758,7.86038147553259,7.92293661286503,7.92343062149763,8.06073257303272,7.66081506504928,3.08669805953289,7.86188883303498,8.49758470158106,5.2413447428854,5.45635895072287,6.38610640094825,7.41022760508854,7.99625344413879,8.2563058441893,7.04382085537057,6.11958684136602,4.18072762475113
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Brazil,BRA,11.2950868433502,12.0528022500388,13.9786916510762,9.04212031316946,5.20907590114365,9.79041016147646,4.60631806113751,3.23170956333574,6.76628496532688,9.11096015517168,-4.39335720034877,0.58024555339469,-3.40979347371636,5.26914314976867,7.94586174871235,7.98829510486276,3.59962946680869,-0.102672718383729,3.27945885796423,-3.10235594875007,1.51193723815426,-0.466913211737747,4.66516899045992,5.33455170168176,4.41673135543732,2.20753552677458,3.39484598484418,0.338097902952427,0.467937567378257,4.38794944267383,1.38989640325893,3.05346185795257,1.14082899810009,5.75996463871775,3.20213137990235,3.96198872184988,6.0698706077184,5.09419544732717,-0.125811999414864,7.52822583005563,3.97442540583816,1.92115031836305,3.00484630505706,0.503955740242247,-3.54576339269425,-3.27591690782192,1.32286905404399,1.31722399870793,1.13658557200958
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Canada,CAN,3.9702506196118,5.50968382512025,6.83574217770631,3.28032305546857,1.46123677078165,5.87863016314196,3.43815143649844,3.68350897019718,3.71116838331933,2.15553743661219,3.47412638547884,-3.18726208287583,2.60133934896891,5.90845712308878,4.73739982911172,2.1449720333145,4.07295914712257,4.4101109794303,2.31697928941396,0.164672580306785,-2.08608546761636,0.900259560172984,2.66085658586188,4.49446618172855,2.69397628551813,1.61917249022756,-3.8452944163932,2.79654247993439,3.97048263689422,4.91776274356224,1.40552758872816,3.42214617132493,3.81109015282463,3.91402878219242,4.99586086930171,4.16581762720676,6.86860885703047,1.00762269545756,-2.92840016684549,3.08949461982786,3.14688137207058,1.76222254945881,2.3291225062102,2.87003607545671,0.659176863558869,1.00139441390405,3.17072989658753,2.01363918733426,1.65604084498516
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,France,FRA,5.31671589688149,4.51137401861739,6.34458067469789,4.30091914308284,-0.959884746223096,4.35675890276836,3.46431200428788,3.97854372235838,3.54998915669242,1.57874525990584,1.06901983853727,2.50539661637579,1.24086486211559,1.51372160344316,1.62278136715794,2.33727634979969,2.56190033450119,4.74314219356484,4.34386106267613,2.92393508123074,1.04817584704435,1.59934267687127,-0.628666351905437,2.35834218111899,2.10669525325974,1.41299367250002,2.33629652937944,3.58865942535427,3.42137379882455,3.92366922704063,1.98372141863292,1.13553148214601,0.823160756684118,2.82975292869891,1.66321998030079,2.44932360111885,2.42473624337305,0.254945960124005,-2.87331382849631,1.94943762312663,2.19270063266654,0.313134751077172,0.576326674771792,0.956183052371557,1.1129123405747,1.09546440372048,2.29141999417021,1.79286392711333,1.50859403033795
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 03/19/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
